DATE,DAY,FLIGHT NUMBER,ORIGIN,DEPARTURE TIME,ARRIVAL TIME,ARRIVAL STATUS,previous_flight_status
03/02/2006,Thursday,B6 22,JFK,1375,1439,1,1
03/02/2006,Thursday,OO 6844,ORD,600,706,0,0
03/02/2006,Thursday,OO 5802,ORD,1330,1432,1,0
03/02/2007,Friday,B6 660,MCO,905,1075,1,0
03/02/2007,Friday,B6 1042,JFK,420,500,2,0
03/02/2007,Friday,B6 68,JFK,575,646,1,2
03/02/2007,Friday,B6 72,JFK,920,990,1,1
03/02/2007,Friday,B6 22,JFK,1360,1427,1,1
03/02/2007,Friday,OO 5840,ORD,604,705,2,0
03/02/2007,Friday,OO 5844,ORD,855,956,1,2
03/02/2007,Friday,OO 6438,ORD,1035,1148,2,1
03/02/2007,Friday,OO 6446,ORD,1180,1292,2,2
03/02/2009,Monday,B6 668,MCO,776,935,0,0
03/02/2009,Monday,B6 664,MCO,1095,1253,1,0
03/02/2009,Monday,B6 80,JFK,405,475,2,0
03/02/2009,Monday,B6 42,JFK,670,745,1,2
03/02/2009,Monday,B6 16,JFK,1020,1112,2,1
03/02/2009,Monday,B6 22,JFK,1360,1439,1,2
03/02/2009,Monday,OO 5988,ORD,614,720,2,0
03/02/2010,Tuesday,B6 668,MCO,705,865,1,0
03/02/2010,Tuesday,B6 660,MCO,1145,1304,0,1
03/02/2010,Tuesday,B6 22,JFK,-75,5,0,0
03/02/2010,Tuesday,B6 44,JFK,480,564,2,0
03/02/2010,Tuesday,B6 42,JFK,629,707,0,2
03/02/2010,Tuesday,B6 62,JFK,873,961,0,0
03/02/2010,Tuesday,OO 6752,ORD,442,548,0,0
03/02/2011,Wednesday,B6 664,MCO,650,809,2,0
03/02/2011,Wednesday,B6 660,MCO,1140,1296,2,2
03/02/2011,Wednesday,B6 42,JFK,630,696,2,0
03/02/2011,Wednesday,B6 62,JFK,1020,1107,0,2
03/02/2011,Wednesday,B6 22,JFK,1365,1435,0,0
03/02/2012,Friday,B6 664,MCO,480,639,0,0
03/02/2012,Friday,B6 658,MCO,1039,1200,1,0
03/02/2012,Friday,B6 44,JFK,457,534,0,0
03/02/2012,Friday,B6 12,JFK,890,977,1,0
03/02/2012,Friday,B6 22,JFK,1370,1438,0,1
03/02/2013,Saturday,B6 664,MCO,947,1110,2,0
03/02/2013,Saturday,B6 658,MCO,1045,1206,0,2
03/02/2013,Saturday,B6 44,JFK,450,523,0,0
03/02/2013,Saturday,B6 12,JFK,958,1048,1,0
03/02/2013,Saturday,B6 22,JFK,1371,1437,1,1
03/02/2014,Sunday,B6 656,MCO,712,875,1,0
03/02/2014,Sunday,B6 116,JFK,558,629,0,0
03/02/2014,Sunday,B6 316,JFK,739,811,2,0
03/02/2014,Sunday,B6 1816,JFK,1355,1421,0,2
03/02/2015,Monday,B6 656,MCO,883,1046,1,0
03/02/2015,Monday,B6 116,JFK,577,657,1,0
03/02/2015,Monday,B6 316,JFK,790,871,0,1
03/02/2015,Monday,B6 1816,JFK,1349,1419,1,0
03/02/2016,Wednesday,B6 656,MCO,1160,1323,1,0
03/02/2016,Wednesday,B6 116,JFK,555,629,1,0
03/02/2016,Wednesday,B6 316,JFK,1020,1095,0,1
03/02/2016,Wednesday,B6 1816,JFK,1370,1439,2,0
